Position,Overall,Player,Team (Bye),Avg Pick,High,Low,Std Dev,% Drafted
TE17,204,Brenton Strange,JAC (7),18.03,14.04,19,21.22,0.16
TE18,205,Chig Okonkwo,WAS (7),18.03,15.01,19,16.78,0.25
QB38,206,Carson Beck,ARI (14),18.03,14.07,19,20.63,0.16
K4,207,Cam Little,JAC (7),18.03,15.04,19,15.37,0.33
DST12,208,Baltimore Ravens,BAL (13),18.03,15.02,19,16.68,0.25
K5,209,Jason Myers,SEA (11),18.03,15.06,19,14.87,0.33
TE19,210,Juwan Johnson,NO (8),18.04,16.02,19,14.93,0.25
K6,211,Eddy Pineiro,SF (8),18.04,15.03,19,15.21,0.33
WR67,212,Troy Franklin,DEN (10),18.04,14.11,19,19.07,0.16
TE20,213,Hunter Henry,NE (11),18.04,15.09,19,14.93,0.25
RB71,214,Devin Neal,NO (8),18.04,16.07,19,12.13,0.33
WR68,215,Tyreek Hill,,18.04,14.11,19,18.5,0.16
K7,216,Tyler Loop,BAL (13),18.04,15.05,19,14.29,0.33
K8,217,Evan McPherson,CIN (6),18.04,15.07,19,13.65,0.33
RB72,218,Kaleb Johnson,PIT (9),18.05,15.05,19,14.65,0.25
RB73,219,Kaelon Black,SF (8),18.05,15.1,19,13.9,0.25
K9,220,Cairo Santos,CHI (10),18.05,15.08,19,13.04,0.33
K10,221,Andy Borregales,NE (11),18.05,15.09,19,13.02,0.33
WR69,222,Kayshon Boutte,NE (11),18.06,15.05,19,13.28,0.25
K11,223,Chase McLaughlin,TB (10),18.06,15.1,19,12.46,0.33
DST13,224,Cleveland Browns,CLE (11),18.06,15.11,19,14.21,0.16
RB74,225,Chris Brooks,GB (11),18.06,15.06,19,13.67,0.16
WR70,226,Tre' Harris,LAC (7),18.07,13.08,19,18.48,0.08
TE21,227,Gunnar Helm,TEN (9),18.07,16.03,19,12.46,0.16
DST14,228,Kansas City Chiefs,KC (5),18.07,16,19,12.25,0.16
WR71,229,Jalen Nailor,LV (13),18.07,15.11,19,12.33,0.16
WR72,230,Brandon Aiyuk,SF (8),18.07,14,19,17.32,0.08
WR73,231,Adonai Mitchell,NYJ (13),18.07,15.09,19,11.96,0.16
RB75,232,Demond Claiborne,MIN (6),18.07,14.05,19,15.88,0.08
DST15,233,Detroit Lions,DET (6),18.08,14.08,19,15.01,0.08
TE22,234,Kenyon Sadiq,NYJ (13),18.08,16.06,19,10.26,0.16
WR74,235,Calvin Ridley,TEN (9),18.08,14.11,19,14.15,0.08
TE23,236,T.J. Hockenson,MIN (6),18.08,16.08,19,9.35,0.16
QB39,237,Anthony Richardson Sr.,IND (13),18.08,15.02,19,13.28,0.08
RB76,238,Malik Davis,DAL (14),18.09,15.1,19,10.97,0.08
RB77,239,Jaydon Blue,DAL (14),18.09,15.11,19,10.68,0.08
K12,240,Jake Bates,DET (6),18.09,16,19,10.39,0.08
WR75,241,Jaylin Noel,HOU (8),18.09,16.01,19,10.1,0.08
K13,242,Harrison Butker,KC (5),18.09,16.06,19,8.63,0.16
RB78,243,Najee Harris,LAC (7),18.09,16.02,19,9.81,0.08
TE24,244,Dalton Schultz,HOU (8),18.1,17.01,19,6.64,0.08
RB79,245,Kendre Miller,NO (8),18.1,17.03,19,6.06,0.08
RB80,246,Samaje Perine,CIN (6),18.11,17.07,19,4.91,0.08
RB81,247,Ronald Jones II,,18.11,17.1,19,4.04,0.08
RB82,248,LeQuint Allen Jr.,JAC (7),18.11,17.11,19,3.75,0.08
